Year,Semester,Academic Year,CRN,Subject ,Course,Course Type,Credits,Title,Cap,Act,Instructor,Contact Hours,Faculty Type
2017,Fall,2017-2018,30103,CSIS,10,IS,3,Intro to Computer Applicat,32,31,Giacomo Rivituso (P),2.0,Adjunct
2017,Fall,2017-2018,30108,CSIS,10,IS,0,Intro to Computer App-Lab,15,14,Mark D. Arunasalem (P),2.0,Adjunct
2017,Fall,2017-2018,30130,CSIS,10,IS,0,Intro to Computer App-Lab,15,14,Mark D. Arunasalem (P),2.0,Adjunct
2017,Fall,2017-2018,30129,CSIS,10,IS,3,Intro to Computer Applicat,28,25,Mark D. Arunasalem (P),2.0,Adjunct
2017,Fall,2017-2018,31229,CSIS,10,IS,0,Intro to Computer App-Lab,15,13,Robert A. Ekblaw (P),2.0,Adjunct
2017,Fall,2017-2018,30105,CSIS,10,IS,0,Intro to Computer App-Lab,15,15,Pauline White (P),2.0,FT Visitor/Teaching
2017,Fall,2017-2018,30910,CSIS,11,IS,1,Prob Solving With Spreadsheets,16,15,Christopher J. Roberts (P),1.5,Adjunct
2017,Fall,2017-2018,34074,CSIS,11,IS,1,Prob Solving With Spreadsheets,16,16,Christopher J. Roberts (P),1.5,Adjunct
2017,Fall,2017-2018,33605,CSIS,11,IS,1,Prob Solving With Spreadsheets,16,16,Christopher J. Roberts (P),1.5,Adjunct
2017,Fall,2017-2018,33601,CSIS,11,IS,1,Prob Solving With Spreadsheets,16,13,Christopher J. Roberts (P),1.5,Adjunct
2017,Fall,2017-2018,33602,CSIS,11,IS,1,Prob Solving With Spreadsheets,16,16,Pauline White (P),1.5,FT Visitor/Teaching
2017,Fall,2017-2018,33604,CSIS,11,IS,1,Prob Solving With Spreadsheets,16,15,Pauline White (P),1.5,FT Visitor/Teaching
2017,Fall,2017-2018,32711,CSIS,110,Both,0,Intro CS: MM Python Prg-Lab,16,10,Alok K. Mehta (P),2.0,Adjunct
2017,Fall,2017-2018,32712,CSIS,110,Both,0,Intro CS: MM Python Prg Lab,16,9,Alok K. Mehta (P),2.0,Adjunct
2017,Fall,2017-2018,32709,CSIS,110,Both,3,Intro CS: MM Python Prg,32,19,Alok K. Mehta (P),2.0,Adjunct
2017,Fall,2017-2018,30565,CSIS,110,Both,0,Intro CS: Linux Systems-Lab,0,0,Pauline White (P),2.0,FT Visitor/Teaching
2017,Fall,2017-2018,30111,CSIS,110,Both,0,Intro CS:MM Python Prg-Lab,16,9,Pauline White (P),2.0,FT Visitor/Teaching
2017,Fall,2017-2018,30114,CSIS,110,Both,0,Intro CS:MM Python Prg-Lab,16,12,Pauline White (P),2.0,FT Visitor/Teaching
2017,Fall,2017-2018,30109,CSIS,110,Both,3,Intro CS:MM Python Prg,32,21,Pauline White (P),2.0,FT Visitor/Teaching
2017,Fall,2017-2018,30113,CSIS,110,Both,0,Intro CS:Linux Systems Lab,16,10,Ira J Goldstein (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,34373,CSIS,110,Both,0,Intro to Computer Sci - BE Lab,25,0,Ira J Goldstein (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,33607,CSIS,110,Both,0,Mohan HS: Intro to CS Lab,25,17,Ira J Goldstein (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30136,CSIS,110,Both,3,Intro CS: Linux Systems,16,10,Ira J Goldstein (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30474,CSIS,110,Both,0,Intro CS:MM Python Prg-Lab,16,14,MaryAnne L. Egan (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,32708,CSIS,110,Both,0,Intro CS:MM Python Prg Lab,16,15,MaryAnne L. Egan (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30110,CSIS,110,Both,3,Intro CS: MM Python Prg,32,29,MaryAnne L. Egan (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,34374,CSIS,110,Both,3,Intro to Computer Science/Beth,25,31,Robin Y. Flatland (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30112,CSIS,110,Both,0,Intro CS: Music Python -Lab,16,12,Scott L. Vandenberg (P),2.0,Tenure/Tenure Track
